station_id,name,language,valid_from,valid_to,name_type,source_id,notes
PL.STN.Bolatice,Bolatice,ru,,,official,SRC.osm,
PL.STN.Bolatice,Bolacice,und,,,alt,SRC.osm,
PL.STN.Bolatice,Bolatitz,und,,,alt,SRC.osm,
PL.STN.Witaszyce,Witaszyce,ru,,,official,SRC.osm,
PL.STN.Witaszyce,Виташице,und,,,alt,SRC.osm,
PL.STN.Witaszyce,Віташице,und,,,alt,SRC.osm,
PL.STN.Mieszkow,Mieszków,ru,,,official,SRC.osm,
PL.STN.Mieszkow,Мешкув,und,,,alt,SRC.osm,
PL.STN.Mieszkow,Мєшкув,und,,,alt,SRC.osm,
PL.STN.Chocicza,Chocicza,ru,,,official,SRC.osm,
PL.STN.Chocicza,Хоцича,und,,,alt,SRC.osm,
PL.STN.Chocicza,Хоціча,und,,,alt,SRC.osm,
PL.STN.Solec_Wielkopolski,Solec Wielkopolski,ru,,,official,SRC.osm,
PL.STN.Sulecinek,Sulęcinek,ru,,,official,SRC.osm,
PL.STN.Sulecinek,Суленцінек,und,,,alt,SRC.osm,
PL.STN.Sulecinek,Суленчинек,und,,,alt,SRC.osm,
PL.STN.Bialogard,Białogard,ru,,,official,SRC.osm,
PL.STN.Bialogard,Belgard an der Persante,und,,,alt,SRC.osm,
PL.STN.Bialogard,Бялогард,und,,,alt,SRC.osm,
PL.STN.Turzno_Kujawskie,Turzno Kujawskie,ru,,,official,SRC.osm,
PL.STN.Doboszowice,Doboszowice,ru,,,official,SRC.osm,
PL.STN.Doboszowice,Добошовице,und,,,alt,SRC.osm,
PL.STN.Doboszowice,Добошовіце,und,,,alt,SRC.osm,
PL.STN.Gaglawki,Gągławki,ru,,,official,SRC.osm,
PL.STN.Gaglawki,Гонглавки,und,,,alt,SRC.osm,
PL.STN.Gaglawki,Ґонґлавкі,und,,,alt,SRC.osm,
PL.STN.Walbrzych_Miasto,Wałbrzych Miasto,ru,,,official,SRC.osm,
PL.STN.Walbrzych_Miasto,Валбжих Място,und,,,alt,SRC.osm,
PL.STN.Walbrzych_Miasto,Валбжих Місто,und,,,alt,SRC.osm,
PL.STN.Legionowo_Piaski,Legionowo Piaski,ru,,,official,SRC.osm,
PL.STN.Legionowo_Piaski,Łajski,und,,,alt,SRC.osm,
PL.STN.Legionowo_Piaski,Легионово Пяски,und,,,alt,SRC.osm,
PL.STN.Legionowo_Piaski,Легіоново Пяски,und,,,alt,SRC.osm,
